Category	despansing unit 	Product Name	Generic / Active Ingredient
Cardiovascular & Blood Health	strip	Alcton  25mg 	Spironolactone
	strip	Adipin  10mg 	Amlodipine
	strip	Amlo-Denk  10mg 	Amlodipine
	strip	Amlo-Denk  5mg 	Amlodipine
	strip	Amlorine  10mg 	Amlodipine
	strip	Amlorine  5mg 	Amlodipine
	strip	Amlo-Vir  5mg of 	Amlodipine
	strip	Amva Denk  10mg/160mg of 14 tab 	Amlodipine + Valsartan
	strip	Amva Denk  5mg/160mg of 14 Tab	Amlodipine + Valsartan
	strip	Amvasc  10mg 	Amlodipine
	strip	Amvasc  5mg 	Amlodipine
	strip	Atenoscot  100mg 	Atenolol
	strip	Ateroz  80mg 	Atorvastatin
	strip	Ateroz  20mg 	Atorvastatin
	strip	Atrova  20mg 	Atorvastatin
	strip	Auroliza-H  of 	Lisinopril + Hydrochlorothiazide
	strip	Betablok SDK  25mg 	Metoprolol Succinate
	strip	Betablok SDK   50mg 	Metoprolol Succinate
	strip	Betaloc Zok  50mg of 	Metoprolol Succinate
	strip	Biscor  10mg 	Bisoprolol
	strip	Clopi-Denk  75mg of 	Clopidogrel
	strip	Clorzid  25mg  	Hydrochlorothiazide
	strip	Co-Aprovel  150/12.5mg 	Irbesartan + Hydrochlorothiazide
	strip	Co-Aprovel  300/12.5mg 	Irbesartan + Hydrochlorothiazide
	strip	Combisar  10/160mg 	Amlodipine + Valsartan
	strip	Conceap  2.5mg 	Bisoprolol Fumarate
	strip	Conceap   5mg 	Bisoprolol Fumarate
	strip	Converium  150mg 	Irbesartan
	strip	Converium Plus  150/12.5mg 	Irbesartan + Hydrochlorothiazide
	strip	Converium Plus  300/12.5mg 	Irbesartan + Hydrochlorothiazide
	strip	Coronis  25mg 	Carvedilol
	strip	Coronis  12.5mg 	Carvedilol
	strip	Coronis  6.25mg 	Carvedilol
	strip	Co-Tabuvan  160/12.5mg 	Valsartan + Hydrochlorothiazide
	strip	Crestor  10mg 	Rosuvastatin
	strip	Crestor  5mg 	Rosuvastatin
	strip	Dapril  10mg 	Lisinopril
	strip	Dapril  20mg 	Lisinopril
	strip	Dapril  5mg 	Lisinopril
	strip	Depin E  Retard 20mg 	Nifedipine
	strip	Diloxol  75mg 	Clopidogrel
	strip	Edisprin-81  81mg 	Aspirin
	strip	Encobloc  40mg 	Propranolol
	strip	Envas  10mg 	Enalapril
	strip	Envas  5mg 	Enalapril
	strip	Espirin  81mg 	Aspirin
	strip	Furo-Denk  40mg 	Furosemide
	strip	Fusix  40mg 	Furosemide
	strip	Gelabex  50mg  	Sacubitril + Valsartan
	strip	Gelabex  100mg  	Sacubitril + Valsartan
	strip	Gelabex  200mg 	Sacubitril + Valsartan
	strip	Koclet   600mg 	Potassium Chloride
	strip	Korandil   10mg 	Enalapril Maleate
	strip	Korandil   5mg of  	Enalapril Maleate
